"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"CHC.x-C22:1a.m","157","Male","CHC","Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. How x-C22:1a differs from x-C22:1b is unclear. Higher peaks indicate a greater amount of the CHC.","Dembeck et al (2015) eLife"
"CHC.x-C22:1b.m","157","Male","CHC","Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. How x-C22:1a differs from x-C22:1b is unclear. Higher peaks indicate a greater amount of the CHC.","Dembeck et al (2015) eLife"
"CHC.x-C23:1.f","169","Female","CHC","Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.","Dembeck et al (2015) eLife"
"CHC.x,y-C24:2.f","169","Female","CHC","Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.","Dembeck et al (2015) eLife"
"CHC.x,y-C24:2.m","157","Male","CHC","Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.","Dembeck et al (2015) eLife"
"chill.coma.recovery.f","176","Female","Physiological","Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.","Mackay et al (2012) Nature"
"chill.coma.recovery.m","176","Male","Physiological","Mean time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure. Higher values indicate a slower recovery from chill coma.","Mackay et al (2012) Nature"
"chill.coma.recovery.variance.f","174","Female","Physiological","Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","Morgante et al (2015) Scientific Reports"
"chill.coma.recovery.variance.m","174","Male","Physiological","Mean variance (the log of the within line standard deviation; ln(σE)) in the time required for a fly to stand upon being returned to room temperature, after three hours of ice exposure.. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable chill coma response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).","Morgante et al (2015) Scientific Reports"
"chlorantraniliprole.resistance.0.5","152","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 0.5 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.1","152","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 1 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.2","151","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 2 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.3","152","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 3 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.4","152","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 4 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.5","152","Both","Insecticide response","Mean survival of first instar larvae to adulthood when reared on food medium supplemented with 5 ug/ml of chlorantraniliprole. This is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"chlorantraniliprole.resistance.LC50","152","Both","Insecticide response","Mean chlorantraniliprole dosage required for 50% of first instar larvae to die before eclosion. Chlorantraniliprole is an anthranilic diamide, a new class of insecticide that targets the ryanodine receptor. Higher values indicate greater resistance to chlorantraniprole.","Green et al (2019) PNAS"
"choline.high.yeast.f","178","Female","Metabolome","Mean relative choline concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"choline.low.yeast.f","178","Female","Metabolome","Mean relative choline concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"chronic.cold.exposure.resistance.f","175","Female","Physiological","Mean proportion of adult flies surviving 16 hours of exposure to 0°C, after 24 hours of recovery at 25°C. Higher values indicate greater resistance to chronic cold exposure.","Gerken et al (2015) PNAS"
"chronic.cold.exposure.resistance.m","175","Male","Physiological","Mean proportion of adult flies surviving 16 hours of exposure to 0°C, after 24 hours of recovery at 25°C. Higher values indicate greater resistance to chronic cold exposure.","Gerken et al (2015) PNAS"
"circadian.period.chi.f","161","Female","Activity","Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.","Harbison et al (2018) Behavior Genetics"
"circadian.period.chi.m","166","Male","Activity","Mean length of the circadian cycle. Calculated using the Chi square Periodogram method. Higher values indicate a longer circadian cycle.","Harbison et al (2018) Behavior Genetics"
"circadian.period.mesa.f","161","Female","Activity","Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.","Harbison et al (2018) Behavior Genetics"
"circadian.period.mesa.m","166","Male","Activity","Mean length of the circadian cycle. Calculated using the Maximum Entropy Spectral Analysis method (MESA period). Higher values indicate a longer circadian cycle.","Harbison et al (2018) Behavior Genetics"
"circadian.rythmicity.index.f","167","Female","Activity","A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.","Harbison et al (2018) Behavior Genetics"
"circadian.rythmicity.index.m","167","Male","Activity","A measure of how consistent a flies activity patterns are, which is an indicator of strength or robustness of the circadian rhythm. Higher values indicate greater rythmicity.","Harbison et al (2018) Behavior Genetics"
"citrate.synthase.activity.f","35","Female","Physiological","Mean citrate synthase activity per adult fly. It is involved in the first step of the TCA cycle, and is therefore considered a proxy for mitochondrial aerobic capacity. Higher values indicate higher citrate synthase activity.","Jehrke et al (2018) Scientific Reports"
"citrate.synthase.activity.m","36","Male","Physiological","Mean citrate synthase activity per adult fly. It is involved in the first step of the TCA cycle, and is therefore considered a proxy for mitochondrial aerobic capacity. Higher values indicate higher citrate synthase activity.","Jehrke et al (2018) Scientific Reports"
