Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
CHC.9-C23:1,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.48,0.02,0.5,0.96,0.14,0.24,0.12,0.47
CHC.9-C25:1,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.17,0.65,0.82,0.21,0.14,0.29,0.16,0.21
CHC.9-C27:1,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.44,0.12,0.56,0.79,0.15,0.26,0.14,0.42
"CHC.9-C29:1 & 5,9-C29:2",Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.28,0.42,0.7,0.4,0.15,0.29,0.15,0.29
"CHC.9,13-C25:2",Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.46,0.09,0.55,0.84,0.14,0.24,0.12,0.41
"CHC.9,13-C27:2",Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.01,0.97,0.99,0.01,0.18,0.37,0.21,0.18
CHC.n-C21,Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.42,0.12,0.54,0.78,0.1,0.15,0.09,0.25
CHC.n-C21,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0,1.09,1.09,0,0.12,0.26,0.17,0.11
CHC.n-C22,Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.37,0.22,0.6,0.63,0.11,0.2,0.11,0.27
CHC.n-C22,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.01,0.99,0.99,0.01,0.14,0.29,0.18,0.14
CHC.n-C23,Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.23,0.51,0.75,0.31,0.12,0.23,0.13,0.2
CHC.n-C23,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.04,0.93,0.96,0.04,0.13,0.27,0.17,0.14
CHC.n-C24,Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.17,0.65,0.82,0.21,0.12,0.25,0.15,0.18
CHC.n-C24,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.45,0.1,0.55,0.82,0.16,0.27,0.14,0.45
CHC.n-C25,Male,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.17,0.66,0.83,0.21,0.24,0.48,0.25,0.35
CHC.n-C26,Female,CHC,"Mean chromatogram peak, for a particular Cuticular Hydrocarbon (CHC). Data are originally displayed as a proportion from all CHCs detected. The name of each CHC can be deciphered as follows: linear alkanes are referred to by the abbreviation n-Cx, where ‘‘x’’ is the total carbon number. Methyl-branched alkanes are referred to with a y-Me-Cx prefix, where ’y’ is the carbon onto which the methyl group is bound. For example, 9-Me-C23 is a 23 carbon chain with a methyl on the 9th carbon. For monoenes (z-Cx:1) and dienes (z,z-Cx:2) the number of double bonds is indicated after the colon and the double bond position/s are ’z’ or ’z,z""). For example, 7-C23:1 has one double bond between the 7th and 8th carbons. Higher peaks indicate a greater amount of the CHC.",Dembeck et al (2015) eLife,0.4,0.16,0.57,0.71,0.13,0.22,0.12,0.34
